window_index,start_idx,end_idx,repeat_sim,repeat_eq,cw_persist,code_change,inrep_line,inrep_ng4_text,inrep_ng4_all,code_dup_msg_inwin,code_dup_msg_lookback,code_repeat_excess,code_repeat_penalty,dup_max_inwin,high_dup_penalty,high_dup_penalty_w,high_dup_flag,done_hits,stuck_hits,ai_wrong_hits,q_densi ty,code_line_rate,fenced_blocks,progress_score,inrep_ng4,cluster
34,272,283,0.23430962343096234,0.23809523809523808,0.16167535966068663,0.4208826695371367,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,-0.07605889102129518,0.0,1
35,280,291,0.22549019607843138,0.23809523809523808,0.15141913118838696,0.9051383399209486,0.4347826086956522,0.0490196078431373,0.045454545454545414,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.0,0.08502149087530105,0.0490196078431373,1
36,288,299,0.12011173184357542,0.23809523809523808,0.14126236244150928,0.9898163863601296,0.4347826086956522,0.0,0.4875983061101028,0.0,0.125,0.4875983061101028,0.004137927300733793,0.4875983061101028,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.6666666666666666,0.0,0.24120518771313237,0.0,2
37,296,307,0.5435294117647059,0.23809523809523808,0.29910845588235296,0.12316983099448231,0.4347826086956522,0.0,0.31202435312024357,0.0,0.4444444444444444,0.31202435312024357,0.23939332049522793,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.75,0.0,-0.607218665152127,0.0,2
38,304,315,0.20052083333333334,0.23809523809523808,0.1729421209273183,0.8369308906221657,0.4347826086956522,0.037878787878787845,0.02405498281786944,0.0,0.3333333333333333,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,-0.00821213057405211,0.037878787878787845,1
39,312,323,0.5303867403314917,0.23809523809523808,0.34710046063029354,0.1578947368421053,0.4347826086956522,0.0,0.012499999999999956,0.0,0.4,0.012499999999999956,0.007456140350877166,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4166666666666667,0.0,-0.35944441238112873,0.0,0
40,320,331,0.34831460674157305,0.23809523809523808,0.24522329321850228,0.6599999999999999,0.4347826086956522,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,-0.10821205636599615,0.0,1
41,328,339,0.32786885245901637,0.23809523809523808,0.23007199236707432,0.10629921259842523,0.4347826086956522,0.0,0.0,0.0,0.5,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,-0.32591169065377873,0.0,0
42,336,347,0.2621951219512195,0.23809523809523808,0.19663154155813403,0.7632458233890215,0.4347826086956522,0.0,0.11764705882352944,0.0,0.3333333333333333,0.11764705882352944,0.017408395339042544,0.4347826086956522,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.25,0.0,0.06384259686663932,0.0,1
43,344,355,0.5077720207253886,0.23809523809523808,0.3094415659182499,0.09158415841584155,0.4347826086956522,0.0,0.12951807228915657,0.0,0.4,0.12951807228915657,0.0833398569525627,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.4166666666666667,0.0,-0.06611988628623343,0.0,2
44,352,363,0.12446351931330472,0.23809523809523808,0.09829278600894084,0.7802208835341365,0.4347826086956522,0.0,0.07692307692307687,0.0,0.3333333333333333,0.07692307692307687,0.012679564411492115,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.4166666666666667,0.5,0.0,0.3756782101560582,0.0,1
45,360,371,0.34404283801874164,0.23809523809523808,0.1971723244419664,0.18271618875592688,0.4347826086956522,0.0,0.45578778135048237,0.0,0.3333333333333333,0.45578778135048237,0.23281748441287659,0.45578778135048237,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.25,0.0,-0.3670504064363916,0.0,2
46,368,379,0.06585365853658537,0.23809523809523808,0.05295650285879713,0.9921246554536761,0.4347826086956522,0.02352941176470591,0.020408163265306145,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5512636789267255,0.02352941176470591,1
47,376,387,0.07563025210084033,0.23809523809523808,0.21525765478605235,0.9894897182025895,0.4347826086956522,0.0,0.21584699453551914,0.0,0.0,0.21584699453551914,0.001512408491794959,0.4347826086956522,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.39435307893655813,0.0,2
48,384,395,0.8612903225806452,0.23809523809523808,0.4449308755760369,0.013967220560959892,0.4347826086956522,0.010638297872340385,0.21029668411867364,0.0,0.6,0.19965838624633325,0.139449380416223,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4166666666666667,1.0,-0.6763770154479626,0.010638297872340385,2
49,392,403,0.5604395604395604,0.23809523809523808,0.5505322802197803,0.2238901601830664,0.4347826086956522,0.0,0.021739130434782594,0.0,0.25,0.021739130434782594,0.01124796869299903,0.4347826086956522,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,-0.22436047807053988,0.0,0
50,400,411,0.10975609756097561,0.23809523809523808,0.08325063978691179,0.3288836061077077,0.4347826086956522,0.0,0.3700404858299595,0.0,0.2222222222222222,0.3700404858299595,0.2069501970369619,0.4347826086956522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.05834056675552471,0.0,2
51,408,419,0.10526315789473684,0.23809523809523808,0.07420020639834882,0.882808103545301,0.4347826086956522,0.0,0.0,0.0,0.5,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0.26846483988000436,0.0,1
52,416,427,0.06597222222222222,0.25,0.05457505757052389,0.9572550534311832,0.4782608695652174,0.0,0.4223770809136663,0.125,0.2857142857142857,0.4223770809136663,0.015045404796289555,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.038009379957238944,0.0,2
53,424,435,0.2568203198494826,0.2,0.1619068919508851,0.3553948633918712,0.4782608695652174,0.09090909090909094,0.4068027210884354,0.16666666666666663,0.6,0.31589363017934446,0.15271999247654555,0.4782608695652174,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4166666666666667,0.5,0.0,-0.3243832047820663,0.09090909090909094,2
54,432,443,0.264417845484222,0.2631578947368421,0.22903696948668528,0.12958810701231682,0.4782608695652174,0.0,0.11776859504132231,0.11111111111111116,0.125,0.11776859504132231,0.08969378752636509,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,-0.3562293351244001,0.0,2
